qber,p_depol,log_neg,E_R_corrected,SP_BB84_per_signal,SP_6state_per_signal,ratio_ER_BB,ratio_ER_6st
0.13450,0.17933,0.7916057247,0.4303484562,-0.0696515438,-0.0150601675,inf,inf
0.13500,0.18000,0.7907720379,0.4290070399,-0.0709929601,-0.0159516370,inf,inf
0.13550,0.18067,0.7899378690,0.4276687123,-0.0723312877,-0.0168414316,inf,inf
0.13600,0.18133,0.7891032175,0.4263334636,-0.0736665364,-0.0177295557,inf,inf
0.13650,0.18200,0.7882680829,0.4250012844,-0.0749987156,-0.0186160140,inf,inf
0.13700,0.18267,0.7874324645,0.4236721652,-0.0763278348,-0.0195008110,inf,inf
0.13750,0.18333,0.7865963619,0.4223460966,-0.0776539034,-0.0203839511,inf,inf
0.13800,0.18400,0.7857597744,0.4210230693,-0.0789769307,-0.0212654390,inf,inf
0.13850,0.18467,0.7849227016,0.4197030740,-0.0802969260,-0.0221452789,inf,inf
0.13900,0.18533,0.7840851427,0.4183861014,-0.0816138986,-0.0230234753,inf,inf
0.13950,0.18600,0.7832470974,0.4170721426,-0.0829278574,-0.0239000326,inf,inf
0.14000,0.18667,0.7824085649,0.4157611884,-0.0842388116,-0.0247749550,inf,inf
0.14050,0.18733,0.7815695448,0.4144532298,-0.0855467702,-0.0256482469,inf,inf
0.14100,0.18800,0.7807300365,0.4131482579,-0.0868517421,-0.0265199126,inf,inf
0.14150,0.18867,0.7798900393,0.4118462639,-0.0881537361,-0.0273899561,inf,inf
0.14200,0.18933,0.7790495528,0.4105472389,-0.0894527611,-0.0282583818,inf,inf
0.14250,0.19000,0.7782085764,0.4092511742,-0.0907488258,-0.0291251939,inf,inf
0.14300,0.19067,0.7773671095,0.4079580613,-0.0920419387,-0.0299903963,inf,inf
0.14350,0.19133,0.7765251514,0.4066678913,-0.0933321087,-0.0308539933,inf,inf
