qber,p_depol,log_neg_bits,bb84_SP_bits,sixstate_SP_bits,gap_bb84,gap_sixstate
0.08050,0.10733,0.8789214797,0.1921229488,0.4684719931,0.6867985309,0.4104494867
0.08100,0.10800,0.8781367666,0.1886140234,0.4659250491,0.6895227432,0.4122117175
0.08150,0.10867,0.8773516264,0.1851147885,0.4633829505,0.6922368379,0.4139686760
0.08200,0.10933,0.8765660588,0.1816251899,0.4608456699,0.6949408688,0.4157203888
0.08250,0.11000,0.8757800631,0.1781451741,0.4583131807,0.6976348890,0.4174668823
0.08300,0.11067,0.8749936389,0.1746746882,0.4557854565,0.7003189508,0.4192081824
0.08350,0.11133,0.8742067859,0.1712136798,0.4532624711,0.7029931061,0.4209443148
0.08400,0.11200,0.8734195034,0.1677620975,0.4507441987,0.7056574059,0.4226753047
0.08450,0.11267,0.8726317911,0.1643198902,0.4482306138,0.7083119009,0.4244011773
0.08500,0.11333,0.8718436485,0.1608870075,0.4457216912,0.7109566410,0.4261219573
0.08550,0.11400,0.8710550751,0.1574633997,0.4432174060,0.7135916754,0.4278376690
0.08600,0.11467,0.8702660704,0.1540490175,0.4407177337,0.7162170529,0.4295483367
0.08650,0.11533,0.8694766340,0.1506438124,0.4382226499,0.7188328216,0.4312539841
0.08700,0.11600,0.8686867653,0.1472477362,0.4357321305,0.7214390291,0.4329546348
0.08750,0.11667,0.8678964640,0.1438607415,0.4332461520,0.7240357225,0.4346503120
0.08800,0.11733,0.8671057295,0.1404827814,0.4307646906,0.7266229481,0.4363410389
0.08850,0.11800,0.8663145614,0.1371138094,0.4282877234,0.7292007520,0.4380268380
0.08900,0.11867,0.8655229591,0.1337537796,0.4258152272,0.7317691795,0.4397077319
0.08950,0.11933,0.8647309223,0.1304026467,0.4233471795,0.7343282756,0.4413837428
0.09000,0.12000,0.8639384504,0.1270603659,0.4208835579,0.7368780846,0.4430548926
0.09050,0.12067,0.8631455430,0.1237268927,0.4184243401,0.7394186503,0.4447212029
0.09100,0.12133,0.8623521995,0.1204021835,0.4159695042,0.7419500161,0.4463826954
0.09150,0.12200,0.8615584196,0.1170861947,0.4135190285,0.7444722249,0.4480393911
0.09200,0.12267,0.8607642026,0.1137788835,0.4110728917,0.7469853191,0.4496913109
0.09250,0.12333,0.8599695482,0.1104802076,0.4086310725,0.7494893407,0.4513384758
0.09300,0.12400,0.8591744559,0.1071901249,0.4061935499,0.7519843310,0.4529809060
0.09350,0.12467,0.8583789251,0.1039085939,0.4037603032,0.7544703311,0.4546186219
0.09400,0.12533,0.8575829554,0.1006355738,0.4013313118,0.7569473816,0.4562516436
0.09450,0.12600,0.8567865463,0.0973710237,0.3989065555,0.7594155226,0.4578799908
0.09500,0.12667,0.8559896973,0.0941149036,0.3964860142,0.7618747937,0.4595036831
0.09550,0.12733,0.8551924080,0.0908671738,0.3940696681,0.7643252342,0.4611227399
0.09600,0.12800,0.8543946778,0.0876277949,0.3916574974,0.7667668829,0.4627371804
0.09650,0.12867,0.8535965062,0.0843967280,0.3892494827,0.7691997782,0.4643470235
0.09700,0.12933,0.8527978928,0.0811739346,0.3868456047,0.7716239582,0.4659522881
0.09750,0.13000,0.8519988371,0.0779593767,0.3844458445,0.7740394605,0.4675529926
0.09800,0.13067,0.8511993386,0.0747530165,0.3820501832,0.7764463221,0.4691491554
0.09850,0.13133,0.8503993968,0.0715548167,0.3796586020,0.7788445800,0.4707407947
0.09900,0.13200,0.8495990112,0.0683647405,0.3772710827,0.7812342706,0.4723279285
0.09950,0.13267,0.8487981812,0.0651827513,0.3748876068,0.7836154300,0.4739105744
0.10000,0.13333,0.8479969066,0.0620088128,0.3725081563,0.7859880937,0.4754887502
0.10050,0.13400,0.8471951866,0.0588428894,0.3701327134,0.7883522972,0.4770624732
0.10100,0.13467,0.8463930209,0.0556849455,0.3677612602,0.7907080753,0.4786317607
0.10150,0.13533,0.8455904088,0.0525349461,0.3653937792,0.7930554627,0.4801966296
0.10200,0.13600,0.8447873501,0.0493928564,0.3630302531,0.7953944936,0.4817570969
0.10250,0.13667,0.8439838440,0.0462586421,0.3606706647,0.7977252019,0.4833131793
0.10300,0.13733,0.8431798903,0.0431322691,0.3583149970,0.8000476212,0.4848648933
0.10350,0.13800,0.8423754882,0.0400137036,0.3559632330,0.8023617846,0.4864122552
0.10400,0.13867,0.8415706374,0.0369029124,0.3536153561,0.8046677250,0.4879552813
0.10450,0.13933,0.8407653373,0.0337998623,0.3512713498,0.8069654751,0.4894939875
0.10500,0.14000,0.8399595875,0.0307045205,0.3489311977,0.8092550670,0.4910283898
0.10550,0.14067,0.8391533874,0.0276168548,0.3465948836,0.8115365326,0.4925585038
0.10600,0.14133,0.8383467365,0.0245368329,0.3442623914,0.8138099036,0.4940843451
0.10650,0.14200,0.8375396344,0.0214644231,0.3419337052,0.8160752113,0.4956059292
0.10700,0.14267,0.8367320805,0.0183995939,0.3396088094,0.8183324866,0.4971232711
0.10750,0.14333,0.8359240743,0.0153423140,0.3372876882,0.8205817603,0.4986363861
0.10800,0.14400,0.8351156153,0.0122925526,0.3349703262,0.8228230627,0.5001452890
0.10850,0.14467,0.8343067030,0.0092502791,0.3326567082,0.8250564239,0.5016499948
0.10900,0.14533,0.8334973369,0.0062154630,0.3303468189,0.8272818738,0.5031505179
0.10950,0.14600,0.8326875164,0.0031880745,0.3280406434,0.8294994419,0.5046468730
0.11000,0.14667,0.8318772412,0.0001680837,0.3257381668,0.8317091575,0.5061390744
0.11050,0.14733,0.8310665106,0.0000000000,0.3234393742,0.8310665106,0.5076271364
0.11100,0.14800,0.8302553242,0.0000000000,0.3211442512,0.8302553242,0.5091110730
0.11150,0.14867,0.8294436814,0.0000000000,0.3188527832,0.8294436814,0.5105908982
0.11200,0.14933,0.8286315817,0.0000000000,0.3165649558,0.8286315817,0.5120666258
0.11250,0.15000,0.8278190246,0.0000000000,0.3142807550,0.8278190246,0.5135382696
0.11300,0.15067,0.8270060096,0.0000000000,0.3120001666,0.8270060096,0.5150058431
0.11350,0.15133,0.8261925362,0.0000000000,0.3097231765,0.8261925362,0.5164693597
0.11400,0.15200,0.8253786039,0.0000000000,0.3074497711,0.8253786039,0.5179288328
0.11450,0.15267,0.8245642121,0.0000000000,0.3051799366,0.8245642121,0.5193842755
0.11500,0.15333,0.8237493603,0.0000000000,0.3029136594,0.8237493603,0.5208357009
0.11550,0.15400,0.8229340480,0.0000000000,0.3006509261,0.8229340480,0.5222831220
0.11600,0.15467,0.8221182747,0.0000000000,0.2983917232,0.8221182747,0.5237265515
