noise_param,AD_log_neg_bits,dephase_log_neg_bits,depol_log_neg_bits
0.2200,0.8318772412,0.6415460291,0.7398481027
0.2210,0.8310665106,0.6396952334,0.7385516865
0.2220,0.8302553242,0.6378420603,0.7372541043
0.2230,0.8294436814,0.6359865037,0.7359553540
0.2240,0.8286315817,0.6341285575,0.7346554335
0.2250,0.8278190246,0.6322682155,0.7333543406
0.2260,0.8270060096,0.6304054715,0.7320520733
0.2270,0.8261925362,0.6285403193,0.7307486294
0.2280,0.8253786039,0.6266727526,0.7294440068
0.2290,0.8245642121,0.6248027653,0.7281382034
0.2300,0.8237493603,0.6229303509,0.7268312170
0.2310,0.8229340480,0.6210555033,0.7255230455
0.2320,0.8221182747,0.6191782161,0.7242136868
0.2330,0.8213020399,0.6172984828,0.7229031386
0.2340,0.8204853430,0.6154162973,0.7215913988
0.2350,0.8196681835,0.6135316529,0.7202784652
0.2360,0.8188505609,0.6116445434,0.7189643358
0.2370,0.8180324747,0.6097549622,0.7176490082
0.2380,0.8172139243,0.6078629028,0.7163324803
0.2390,0.8163949092,0.6059683588,0.7150147499
0.2400,0.8155754289,0.6040713237,0.7136958148
0.2410,0.8147554828,0.6021717908,0.7123756729
0.2420,0.8139350705,0.6002697535,0.7110543218
0.2430,0.8131141913,0.5983652053,0.7097317594
0.2440,0.8122928449,0.5964581396,0.7084079835
0.2450,0.8114710305,0.5945485496,0.7070829918
0.2460,0.8106487478,0.5926364286,0.7057567820
0.2470,0.8098259961,0.5907217700,0.7044293521
0.2480,0.8090027749,0.5888045670,0.7031006996
0.2490,0.8081790838,0.5868848129,0.7017708224
0.2500,0.8073549221,0.5849625007,0.7004397181
0.2510,0.8065302893,0.5830376238,0.6991073846
0.2520,0.8057051848,0.5811101752,0.6977738196
0.2530,0.8048796083,0.5791801481,0.6964390207
0.2540,0.8040535590,0.5772475356,0.6951029856
0.2550,0.8032270364,0.5753123307,0.6937657122
0.2560,0.8024000401,0.5733745264,0.6924271981
0.2570,0.8015725695,0.5714341159,0.6910874410
0.2580,0.8007446239,0.5694910920,0.6897464385
0.2590,0.7999162030,0.5675454476,0.6884041884
0.2600,0.7990873061,0.5655971759,0.6870606883
0.2610,0.7982579326,0.5636462695,0.6857159360
0.2620,0.7974280822,0.5616927214,0.6843699290
0.2630,0.7965977540,0.5597365244,0.6830226651
0.2640,0.7957669478,0.5577776714,0.6816741418
0.2650,0.7949356628,0.5558161551,0.6803243568
0.2660,0.7941038986,0.5538519682,0.6789733079
0.2670,0.7932716545,0.5518851035,0.6776209925
0.2680,0.7924389301,0.5499155536,0.6762674083
0.2690,0.7916057247,0.5479433113,0.6749125529
0.2700,0.7907720379,0.5459683691,0.6735564240
0.2710,0.7899378690,0.5439907197,0.6721990191
