noise_param,AD_1arm,AD_composed,DP_1arm,DP_composed,DE_1arm,DE_composed,ER_1arm,ER_composed
0.1390,0.8960780554,0.8001821780,0.7840851427,0.6052895069,0.8411680435,0.6888351868,0.8960780554,0.8001821780
0.1400,0.8953026213,0.7987556139,0.7824085649,0.6025518975,0.8399595875,0.6865229378,0.8953026213,0.7987556139
0.1410,0.8945267703,0.7973292982,0.7807300365,0.5998166990,0.8387501183,0.6842096705,0.8945267703,0.7973292982
0.1420,0.8937505017,0.7959032328,0.7790495528,0.5970839350,0.8375396344,0.6818953860,0.8937505017,0.7959032328
0.1430,0.8929738153,0.7944774200,0.7773671095,0.5943536292,0.8363281339,0.6795800854,0.8929738153,0.7944774200
0.1440,0.8921967105,0.7930518619,0.7756827017,0.5916258055,0.8351156153,0.6772637696,0.8921967105,0.7930518619
0.1450,0.8914191868,0.7916265607,0.7739963251,0.5889004877,0.8339020767,0.6749464398,0.8914191868,0.7916265607
0.1460,0.8906412440,0.7902015185,0.7723079750,0.5861776998,0.8326875164,0.6726280971,0.8906412440,0.7902015185
0.1470,0.8898628814,0.7887767374,0.7706176467,0.5834574659,0.8314719328,0.6703087426,0.8898628814,0.7887767374
0.1480,0.8890840986,0.7873522197,0.7689253356,0.5807398102,0.8302553242,0.6679883774,0.8890840986,0.7873522197
0.1490,0.8883048952,0.7859279675,0.7672310370,0.5780247570,0.8290376887,0.6656670026,0.8883048952,0.7859279675
0.1500,0.8875252707,0.7845039829,0.7655347464,0.5753123307,0.8278190246,0.6633446194,0.8875252707,0.7845039829
0.1510,0.8867452247,0.7830802683,0.7638364589,0.5726025557,0.8265993303,0.6610212289,0.8867452247,0.7830802683
0.1520,0.8859647568,0.7816568256,0.7621361699,0.5698954565,0.8253786039,0.6586968323,0.8859647568,0.7816568256
0.1530,0.8851838663,0.7802336573,0.7604338747,0.5671910580,0.8241568437,0.6563714307,0.8851838663,0.7802336573
0.1540,0.8844025530,0.7788107654,0.7587295685,0.5644893847,0.8229340480,0.6540450254,0.8844025530,0.7788107654
0.1550,0.8836208163,0.7773881521,0.7570232465,0.5617904617,0.8217102150,0.6517176176,0.8836208163,0.7773881521
0.1560,0.8828386558,0.7759658197,0.7553149040,0.5590943137,0.8204853430,0.6493892083,0.8828386558,0.7759658197
0.1570,0.8820560710,0.7745437704,0.7536045363,0.5564009659,0.8192594301,0.6470597990,0.8820560710,0.7745437704
0.1580,0.8812730614,0.7731220064,0.7518921384,0.5537104435,0.8180324747,0.6447293908,0.8812730614,0.7731220064
0.1590,0.8804896267,0.7717005299,0.7501777056,0.5510227716,0.8168044748,0.6423979848,0.8804896267,0.7717005299
0.1600,0.8797057663,0.7702793432,0.7484612330,0.5483379755,0.8155754289,0.6400655825,0.8797057663,0.7702793432
0.1610,0.8789214797,0.7688584485,0.7467427158,0.5456560808,0.8143453350,0.6377321851,0.8789214797,0.7688584485
0.1620,0.8781367666,0.7674378480,0.7450221490,0.5429771128,0.8131141913,0.6353977938,0.8781367666,0.7674378480
0.1630,0.8773516264,0.7660175441,0.7432995279,0.5403010973,0.8118819962,0.6330624099,0.8773516264,0.7660175441
0.1640,0.8765660588,0.7645975389,0.7415748474,0.5376280600,0.8106487478,0.6307260348,0.8765660588,0.7645975389
0.1650,0.8757800631,0.7631778347,0.7398481027,0.5349580266,0.8094144442,0.6283886697,0.8757800631,0.7631778347
0.1660,0.8749936389,0.7617584338,0.7381192888,0.5322910230,0.8081790838,0.6260503160,0.8749936389,0.7617584338
0.1670,0.8742067859,0.7603393384,0.7363884007,0.5296270753,0.8069426646,0.6237109750,0.8742067859,0.7603393384
0.1680,0.8734195034,0.7589205509,0.7346554335,0.5269662094,0.8057051848,0.6213706480,0.8734195034,0.7589205509
0.1690,0.8726317911,0.7575020735,0.7329203821,0.5243084517,0.8044666427,0.6190293365,0.8726317911,0.7575020735
0.1700,0.8718436485,0.7560839085,0.7311832416,0.5216538283,0.8032270364,0.6166870418,0.8718436485,0.7560839085
0.1710,0.8710550751,0.7546660582,0.7294440068,0.5190023656,0.8019863641,0.6143437653,0.8710550751,0.7546660582
0.1720,0.8702660704,0.7532485249,0.7277026728,0.5163540901,0.8007446239,0.6119995084,0.8702660704,0.7532485249
