noise_param,AD_1arm,AD_composed,DP_1arm,DP_composed,DE_1arm,DE_composed,ER_1arm,ER_composed
0.1730,0.8694766340,0.7518313109,0.7259592345,0.5137090283,0.7995018141,0.6096542725,0.8694766340,0.7518313109
0.1740,0.8686867653,0.7504144185,0.7242136868,0.5110672069,0.7982579326,0.6073080591,0.8686867653,0.7504144185
0.1750,0.8678964640,0.7489978501,0.7224660245,0.5084286525,0.7970129778,0.6049608695,0.8678964640,0.7489978501
0.1760,0.8671057295,0.7475816079,0.7207162425,0.5057933921,0.7957669478,0.6026127053,0.8671057295,0.7475816079
0.1770,0.8663145614,0.7461656943,0.7189643358,0.5031614525,0.7945198406,0.6002635678,0.8663145614,0.7461656943
0.1780,0.8655229591,0.7447501117,0.7172102990,0.5005328608,0.7932716545,0.5979134586,0.8655229591,0.7447501117
0.1790,0.8647309223,0.7433348623,0.7154541271,0.4979076440,0.7920223875,0.5955623792,0.8647309223,0.7433348623
0.1800,0.8639384504,0.7419199485,0.7136958148,0.4952858294,0.7907720379,0.5932103310,0.8639384504,0.7419199485
0.1810,0.8631455430,0.7405053727,0.7119353570,0.4926674441,0.7895206036,0.5908573157,0.8631455430,0.7405053727
0.1820,0.8623521995,0.7390911372,0.7101727483,0.4900525157,0.7882680829,0.5885033346,0.8623521995,0.7390911372
0.1830,0.8615584196,0.7376772443,0.7084079835,0.4874410715,0.7870144738,0.5861483894,0.8615584196,0.7376772443
0.1840,0.8607642026,0.7362636966,0.7066410573,0.4848331391,0.7857597744,0.5837924816,0.8607642026,0.7362636966
0.1850,0.8599695482,0.7348504962,0.7048719645,0.4822287461,0.7845039829,0.5814356128,0.8599695482,0.7348504962
0.1860,0.8591744559,0.7334376457,0.7031006996,0.4796279203,0.7832470974,0.5790777846,0.8591744559,0.7334376457
0.1870,0.8583789251,0.7320251474,0.7013272574,0.4770306895,0.7819891159,0.5767189985,0.8583789251,0.7320251474
0.1880,0.8575829554,0.7306130036,0.6995516325,0.4744370816,0.7807300365,0.5743592563,0.8575829554,0.7306130036
0.1890,0.8567865463,0.7292012169,0.6977738196,0.4718471246,0.7794698573,0.5719985594,0.8567865463,0.7292012169
0.1900,0.8559896973,0.7277897895,0.6959938131,0.4692608466,0.7782085764,0.5696369096,0.8559896973,0.7277897895
0.1910,0.8551924080,0.7263787239,0.6942116078,0.4666782758,0.7769461919,0.5672743084,0.8551924080,0.7263787239
0.1920,0.8543946778,0.7249680225,0.6924271981,0.4640994403,0.7756827017,0.5649107576,0.8543946778,0.7249680225
0.1930,0.8535965062,0.7235576878,0.6906405786,0.4615243686,0.7744181041,0.5625462589,0.8535965062,0.7235576878
0.1940,0.8527978928,0.7221477221,0.6888517439,0.4589530891,0.7731523970,0.5601808139,0.8527978928,0.7221477221
0.1950,0.8519988371,0.7207381279,0.6870606883,0.4563856304,0.7718855785,0.5578144244,0.8519988371,0.7207381279
0.1960,0.8511993386,0.7193289076,0.6852674065,0.4538220209,0.7706176467,0.5554470920,0.8511993386,0.7193289076
0.1970,0.8503993968,0.7179200637,0.6834718929,0.4512622895,0.7693485995,0.5530788185,0.8503993968,0.7179200637
0.1980,0.8495990112,0.7165115987,0.6816741418,0.4487064649,0.7680784350,0.5507096057,0.8495990112,0.7165115987
0.1990,0.8487981812,0.7151035149,0.6798741477,0.4461545759,0.7668071513,0.5483394553,0.8487981812,0.7151035149
0.2000,0.8479969066,0.7136958148,0.6780719051,0.4436066515,0.7655347464,0.5459683691,0.8479969066,0.7136958148
0.2010,0.8471951866,0.7122885010,0.6762674083,0.4410627207,0.7642612182,0.5435963489,0.8471951866,0.7122885010
0.2020,0.8463930209,0.7108815758,0.6744606516,0.4385228127,0.7629865649,0.5412233965,0.8463930209,0.7108815758
0.2030,0.8455904088,0.7094750418,0.6726516293,0.4359869566,0.7617107844,0.5388495138,0.8455904088,0.7094750418
0.2040,0.8447873501,0.7080689015,0.6708403359,0.4334551817,0.7604338747,0.5364747025,0.8447873501,0.7080689015
0.2050,0.8439838440,0.7066631572,0.6690267655,0.4309275174,0.7591558338,0.5340989646,0.8439838440,0.7066631572
0.2060,0.8431798903,0.7052578117,0.6672109125,0.4284039931,0.7578766597,0.5317223018,0.8431798903,0.7052578117
0.2070,0.8423754882,0.7038528672,0.6653927710,0.4258846384,0.7565963505,0.5293447161,0.8423754882,0.7038528672
0.2080,0.8415706374,0.7024483264,0.6635723354,0.4233694828,0.7553149040,0.5269662094,0.8415706374,0.7024483264
0.2090,0.8407653373,0.7010441917,0.6617495998,0.4208585560,0.7540323184,0.5245867836,0.8407653373,0.7010441917
0.2100,0.8399595875,0.6996404657,0.6599245584,0.4183518878,0.7527485914,0.5222064406,0.8399595875,0.6996404657
0.2110,0.8391533874,0.6982371509,0.6580972054,0.4158495080,0.7514637212,0.5198251824,0.8391533874,0.6982371509
0.2120,0.8383467365,0.6968342498,0.6562675348,0.4133514466,0.7501777056,0.5174430109,0.8383467365,0.6968342498
0.2130,0.8375396344,0.6954317650,0.6544355408,0.4108577336,0.7488905426,0.5150599281,0.8375396344,0.6954317650
0.2140,0.8367320805,0.6940296990,0.6526012176,0.4083683990,0.7476022303,0.5126759361,0.8367320805,0.6940296990
0.2150,0.8359240743,0.6926280544,0.6507645591,0.4058834729,0.7463127664,0.5102910367,0.8359240743,0.6926280544
0.2160,0.8351156153,0.6912268337,0.6489255595,0.4034029857,0.7450221490,0.5079052320,0.8351156153,0.6912268337
0.2170,0.8343067030,0.6898260394,0.6470842126,0.4009269676,0.7437303760,0.5055185241,0.8343067030,0.6898260394
0.2180,0.8334973369,0.6884256742,0.6452405126,0.3984554490,0.7424374454,0.5031309150,0.8334973369,0.6884256742
0.2190,0.8326875164,0.6870257406,0.6433944535,0.3959884604,0.7411433550,0.5007424068,0.8326875164,0.6870257406
0.2200,0.8318772412,0.6856262413,0.6415460291,0.3935260322,0.7398481027,0.4983530016,0.8318772412,0.6856262413
0.2210,0.8310665106,0.6842271786,0.6396952334,0.3910681952,0.7385516865,0.4959627015,0.8310665106,0.6842271786
0.2220,0.8302553242,0.6828285554,0.6378420603,0.3886149799,0.7372541043,0.4935715085,0.8302553242,0.6828285554
