loss_dB_total,M,rate
46.53061224489796,4.0,1.4282712339925519e-05
46.53061224489796,8.0,7.141356169962759e-06
46.53061224489796,16.0,3.5706780849813797e-06
46.53061224489796,32.0,1.7853390424906898e-06
46.53061224489796,64.0,8.926695212453449e-07
47.755102040816325,4.0,1.2362378047730625e-05
47.755102040816325,8.0,6.181189023865313e-06
47.755102040816325,16.0,3.0905945119326563e-06
47.755102040816325,32.0,1.5452972559663282e-06
47.755102040816325,64.0,7.726486279831641e-07
48.9795918367347,4.0,1.0694741443190747e-05
48.9795918367347,8.0,5.347370721595373e-06
48.9795918367347,16.0,2.6736853607976867e-06
48.9795918367347,32.0,1.3368426803988433e-06
48.9795918367347,64.0,6.684213401994217e-07
50.204081632653065,4.0,9.246554900551174e-06
50.204081632653065,8.0,4.623277450275587e-06
50.204081632653065,16.0,2.3116387251377934e-06
50.204081632653065,32.0,1.1558193625688967e-06
50.204081632653065,64.0,5.779096812844484e-07
51.42857142857143,4.0,7.988951333879056e-06
51.42857142857143,8.0,3.994475666939528e-06
51.42857142857143,16.0,1.997237833469764e-06
51.42857142857143,32.0,9.98618916734882e-07
51.42857142857143,64.0,4.99309458367441e-07
52.6530612244898,4.0,6.896866487444958e-06
52.6530612244898,8.0,3.448433243722479e-06
52.6530612244898,16.0,1.7242166218612396e-06
52.6530612244898,32.0,8.621083109306198e-07
52.6530612244898,64.0,4.310541554653099e-07
53.87755102040816,4.0,5.948537649471544e-06
53.87755102040816,8.0,2.974268824735772e-06
53.87755102040816,16.0,1.487134412367886e-06
53.87755102040816,32.0,7.43567206183943e-07
53.87755102040816,64.0,3.717836030919715e-07
55.10204081632653,4.0,5.125068625546949e-06
55.10204081632653,8.0,2.5625343127734745e-06
55.10204081632653,16.0,1.2812671563867372e-06
55.10204081632653,32.0,6.406335781933686e-07
55.10204081632653,64.0,3.203167890966843e-07
56.3265306122449,4.0,4.41005217106468e-06
56.3265306122449,8.0,2.20502608553234e-06
56.3265306122449,16.0,1.10251304276617e-06
56.3265306122449,32.0,5.51256521383085e-07
56.3265306122449,64.0,2.756282606915425e-07
57.55102040816327,4.0,3.7892422590660725e-06
57.55102040816327,8.0,1.8946211295330363e-06
57.55102040816327,16.0,9.473105647665181e-07
57.55102040816327,32.0,4.7365528238325907e-07
57.55102040816327,64.0,2.3682764119162953e-07
58.775510204081634,4.0,3.2502695767013177e-06
58.775510204081634,8.0,1.6251347883506588e-06
58.775510204081634,16.0,8.125673941753294e-07
58.775510204081634,32.0,4.062836970876647e-07
58.775510204081634,64.0,2.0314184854383235e-07
60.0,4.0,2.782394523242435e-06
60.0,8.0,1.3911972616212176e-06
60.0,16.0,6.955986308106088e-07
60.0,32.0,3.477993154053044e-07
60.0,64.0,1.738996577026522e-07
