loss_dB_total,p_d,rate
4.8979591836734695,6.812920690579608e-07,0.0004561602499160337
4.8979591836734695,1e-06,0.0004558421645880529
4.8979591836734695,1.4677992676220675e-06,0.0004553754835858648
4.8979591836734695,2.1544346900318822e-06,0.0004546909287903873
4.8979591836734695,3.162277660168379e-06,0.0004536870824633431
4.8979591836734695,4.641588833612773e-06,0.00045221565724381624
4.8979591836734695,6.8129206905796085e-06,0.0004500602164178624
4.8979591836734695,1e-05,0.00044690565136077065
6.122448979591837,1e-09,0.00039487641710869416
6.122448979591837,1.4677992676220676e-09,0.00039487594941583977
6.122448979591837,2.1544346900318866e-09,0.00039487526293711126
6.122448979591837,3.1622776601683795e-09,0.00039487425532523207
6.122448979591837,4.641588833612773e-09,0.00039487277635562394
6.122448979591837,6.812920690579622e-09,0.0003948706055302267
6.122448979591837,1e-08,0.0003948674192052934
6.122448979591837,1.4677992676220675e-08,0.0003948627423435926
6.122448979591837,2.1544346900318822e-08,0.000394855877700459
6.122448979591837,3.162277660168379e-08,0.00039484580189230403
6.122448979591837,4.641588833612773e-08,0.000394831012865435
6.122448979591837,6.812920690579608e-08,0.0003948093060531043
6.122448979591837,1e-07,0.00039477744590946866
6.122448979591837,1.4677992676220674e-07,0.0003947306839825427
6.122448979591837,2.1544346900318822e-07,0.000394662051961827
6.122448979591837,3.162277660168379e-07,0.0003945613249177939
6.122448979591837,4.6415888336127725e-07,0.00039441350148890453
6.122448979591837,6.812920690579608e-07,0.0003941965772775178
6.122448979591837,1e-06,0.00039387828560603634
6.122448979591837,1.4677992676220675e-06,0.00039341133280900174
6.122448979591837,2.1544346900318822e-06,0.0003927264456510896
6.122448979591837,3.162277660168379e-06,0.00039172225375209746
6.122448979591837,4.641588833612773e-06,0.00039025062417491556
6.122448979591837,6.8129206905796085e-06,0.0003880955246657908
6.122448979591837,1e-05,0.0003849428077550485
7.346938775510204,1e-09,0.00034153009848997046
7.346938775510204,1.4677992676220676e-09,0.00034152963047438345
7.346938775510204,2.1544346900318866e-09,0.0003415289435220239
7.346938775510204,3.1622776601683795e-09,0.00034152793521511856
7.346938775510204,4.641588833612773e-09,0.00034152645522571556
7.346938775510204,6.812920690579622e-09,0.00034152428290424317
7.346938775510204,1e-08,0.0003415210943850517
7.346938775510204,1.4677992676220675e-08,0.0003415164143062429
7.346938775510204,2.1544346900318822e-08,0.00034150954494884157
7.346938775510204,3.162277660168379e-08,0.000341499462237891
7.346938775510204,4.641588833612773e-08,0.00034148466311529973
7.346938775510204,6.812920690579608e-08,0.00034146294156245025
7.346938775510204,1e-07,0.0003414310599506221
7.346938775510204,1.4677992676220674e-07,0.0003413842668743405
