dA,dC,dE,td_full,td_traced,margin,contraction_holds
3,2,3,1.1921648412,0.5699405671,6.2222427407e-01,True
3,2,3,1.1111628247,0.5559761655,5.5518665924e-01,True
3,2,3,1.1807514674,0.5974229196,5.8332854786e-01,True
3,2,3,1.1195264588,0.5738466779,5.4567978096e-01,True
3,2,3,1.1767088730,0.6428347975,5.3387407545e-01,True
3,2,3,1.0866778822,0.5431276813,5.4355020083e-01,True
3,2,3,1.1542685756,0.5865667508,5.6770182476e-01,True
3,2,3,1.1432615802,0.5865793076,5.5668227265e-01,True
3,2,3,1.1639375699,0.6330367207,5.3090084918e-01,True
3,2,3,1.2096738405,0.6590909452,5.5058289529e-01,True
3,2,3,1.1687959326,0.5503864697,6.1840946291e-01,True
3,2,3,1.1396065732,0.5606056977,5.7900087549e-01,True
3,2,3,1.2179276267,0.5742932796,6.4363434712e-01,True
3,2,3,1.1436133705,0.5680191334,5.7559423718e-01,True
3,2,3,1.0340746185,0.4944818396,5.3959277892e-01,True
3,2,3,1.0965482435,0.5576100602,5.3893818338e-01,True
3,2,3,1.1177948108,0.5444398092,5.7335500163e-01,True
2,4,2,0.9966778309,0.1902867011,8.0639112986e-01,True
2,4,2,1.1172897808,0.2848258338,8.3246394702e-01,True
2,4,2,1.1614007848,0.2576832920,9.0371749283e-01,True
2,4,2,1.2197067238,0.2132308697,1.0064758541e+00,True
2,4,2,1.0716265361,0.2450742755,8.2655226068e-01,True
2,4,2,1.2175338659,0.3577291693,8.5980469666e-01,True
2,4,2,1.1428603307,0.3417339451,8.0112638555e-01,True
2,4,2,1.1893189700,0.3238079636,8.6551100646e-01,True
2,4,2,1.2289403910,0.2836432442,9.4529714677e-01,True
2,4,2,1.1100494448,0.2893801241,8.2066932063e-01,True
2,4,2,1.1237854293,0.2737579262,8.5002750318e-01,True
2,4,2,1.1319556989,0.3539388534,7.7801684550e-01,True
2,4,2,1.0947053059,0.3023973568,7.9230794919e-01,True
2,4,2,1.0701580435,0.2586056041,8.1155243934e-01,True
2,4,2,1.1293920773,0.2382464038,8.9114567354e-01,True
2,4,2,1.1852385886,0.3566642475,8.2857434105e-01,True
2,4,2,1.1332929245,0.3057697129,8.2752321160e-01,True
2,4,2,1.2541137555,0.2481948325,1.0059189230e+00,True
2,4,2,1.2340692716,0.3274067979,9.0666247369e-01,True
