loss_dB_total,tf_rate,ub_candA_worst,gap_candA,ub_plob_end2end_direct,gap_plob_direct
71.000,1.435484e-07,4.066640e-04,4.065205e-04,1.145973e-07,-2.895106e-08
72.000,1.203858e-07,3.624341e-04,3.623137e-04,9.102791e-08,-2.935789e-08
73.000,9.984589e-08,3.230153e-04,3.229155e-04,7.230604e-08,-2.753985e-08
74.000,8.164933e-08,2.878842e-04,2.878026e-04,5.743473e-08,-2.421460e-08
75.000,6.554716e-08,2.565743e-04,2.565088e-04,4.562202e-08,-1.992514e-08
76.000,5.131739e-08,2.286699e-04,2.286186e-04,3.623886e-08,-1.507853e-08
77.000,3.876199e-08,2.038005e-04,2.037617e-04,2.878555e-08,-9.976439e-09
78.000,2.770426e-08,1.816360e-04,1.816083e-04,2.286518e-08,-4.839084e-09
79.000,1.798644e-08,1.618821e-04,1.618641e-04,1.816245e-08,1.760145e-10
80.000,9.467633e-09,1.442767e-04,1.442673e-04,1.442695e-08,4.959318e-09
