eta_arm,log_neg_two_arm_bits,pirandola_bits,ratio
0.198703,0.52294814,0.31959075,1.63630561
0.199202,0.52414963,0.32048991,1.63546378
0.199701,0.52535062,0.32138962,1.63462224
0.200201,0.52655111,0.32228990,1.63378101
0.200700,0.52775110,0.32319073,1.63294008
0.201199,0.52895060,0.32409214,1.63209945
0.201698,0.53014959,0.32499410,1.63125912
0.202198,0.53134809,0.32589663,1.63041909
0.202697,0.53254609,0.32679972,1.62957937
0.203196,0.53374359,0.32770338,1.62873994
0.203695,0.53494059,0.32860761,1.62790081
0.204195,0.53613710,0.32951240,1.62706198
0.204694,0.53733311,0.33041776,1.62622345
0.205193,0.53852863,0.33132369,1.62538521
0.205692,0.53972365,0.33223019,1.62454728
0.206192,0.54091818,0.33313726,1.62370964
0.206691,0.54211221,0.33404490,1.62287229
0.207190,0.54330575,0.33495311,1.62203525
0.207689,0.54449879,0.33586189,1.62119850
0.208189,0.54569134,0.33677125,1.62036204
0.208688,0.54688340,0.33768117,1.61952589
0.209187,0.54807497,0.33859168,1.61869002
0.209686,0.54926605,0.33950276,1.61785445
0.210186,0.55045663,0.34041441,1.61701918
0.210685,0.55164672,0.34132664,1.61618419
0.211184,0.55283632,0.34223945,1.61534951
0.211683,0.55402544,0.34315283,1.61451511
0.212183,0.55521406,0.34406680,1.61368101
0.212682,0.55640219,0.34498134,1.61284720
0.213181,0.55758983,0.34589646,1.61201368
0.213680,0.55877699,0.34681217,1.61118045
0.214180,0.55996365,0.34772846,1.61034752
0.214679,0.56114983,0.34864532,1.60951487
0.215178,0.56233552,0.34956278,1.60868251
0.215677,0.56352073,0.35048081,1.60785045
0.216177,0.56470545,0.35139943,1.60701867
0.216676,0.56588968,0.35231864,1.60618718
0.217175,0.56707342,0.35323843,1.60535599
0.217674,0.56825668,0.35415880,1.60452508
0.218174,0.56943946,0.35507977,1.60369445
0.218673,0.57062175,0.35600132,1.60286412
0.219172,0.57180355,0.35692347,1.60203407
0.219671,0.57298488,0.35784620,1.60120431
0.220171,0.57416571,0.35876952,1.60037484
0.220670,0.57534607,0.35969344,1.59954565
0.221169,0.57652594,0.36061794,1.59871674
0.221668,0.57770533,0.36154304,1.59788813
0.222168,0.57888424,0.36246873,1.59705979
0.222667,0.58006267,0.36339502,1.59623175
0.223166,0.58124062,0.36432190,1.59540398
0.223665,0.58241808,0.36524938,1.59457650
0.224165,0.58359507,0.36617746,1.59374930
0.224664,0.58477157,0.36710613,1.59292239
0.225163,0.58594760,0.36803540,1.59209576
0.225662,0.58712315,0.36896527,1.59126941
0.226162,0.58829821,0.36989574,1.59044334
0.226661,0.58947280,0.37082681,1.58961755
0.227160,0.59064691,0.37175848,1.58879205
0.227659,0.59182055,0.37269075,1.58796682
0.228159,0.59299371,0.37362363,1.58714188
0.228658,0.59416639,0.37455711,1.58631722
0.229157,0.59533859,0.37549119,1.58549283
0.229656,0.59651032,0.37642588,1.58466872
0.230156,0.59768157,0.37736117,1.58384490
0.230655,0.59885235,0.37829708,1.58302135
0.231154,0.60002265,0.37923358,1.58219808
0.231653,0.60119248,0.38017070,1.58137508
0.232153,0.60236183,0.38110843,1.58055237
0.232652,0.60353071,0.38204676,1.57972993
0.233151,0.60469912,0.38298571,1.57890777
0.233650,0.60586705,0.38392527,1.57808588
0.234150,0.60703451,0.38486544,1.57726427
0.234649,0.60820150,0.38580623,1.57644294
0.235148,0.60936802,0.38674762,1.57562187
0.235647,0.61053406,0.38768964,1.57480109
0.236147,0.61169964,0.38863226,1.57398058
0.236646,0.61286474,0.38957551,1.57316034
0.237145,0.61402937,0.39051937,1.57234038
0.237644,0.61519354,0.39146385,1.57152068
0.238144,0.61635723,0.39240895,1.57070127
0.238643,0.61752046,0.39335466,1.56988212
0.239142,0.61868321,0.39430100,1.56906325
0.239641,0.61984550,0.39524796,1.56824464
0.240141,0.62100732,0.39619554,1.56742631
0.240640,0.62216867,0.39714375,1.56660825
0.241139,0.62332956,0.39809257,1.56579046
0.241638,0.62448997,0.39904203,1.56497294
0.242138,0.62564993,0.39999210,1.56415569
0.242637,0.62680941,0.40094281,1.56333871
0.243136,0.62796843,0.40189414,1.56252200
0.243635,0.62912699,0.40284610,1.56170556
0.244135,0.63028508,0.40379868,1.56088938
0.244634,0.63144270,0.40475190,1.56007348
0.245133,0.63259986,0.40570574,1.55925784
0.245632,0.63375656,0.40666022,1.55844247
0.246132,0.63491279,0.40761533,1.55762736
0.246631,0.63606856,0.40857107,1.55681252
0.247130,0.63722387,0.40952745,1.55599795
0.247629,0.63837871,0.41048446,1.55518364
0.248129,0.63953310,0.41144210,1.55436960
0.248628,0.64068702,0.41240038,1.55355582
0.249127,0.64184048,0.41335930,1.55274231
0.249626,0.64299347,0.41431886,1.55192906
0.250126,0.64414601,0.41527905,1.55111608
0.250625,0.64529809,0.41623989,1.55030336
0.251124,0.64644971,0.41720136,1.54949090
0.251623,0.64760087,0.41816348,1.54867870
0.252123,0.64875157,0.41912623,1.54786677
0.252622,0.64990181,0.42008963,1.54705510
0.253121,0.65105159,0.42105368,1.54624369
