gamma,log_neg_analytic,Q_degradable_analytic_LB_on_K2way
0.3283,0.7412779945,0.2799262711
0.3293,0.7404164299,0.2782496457
0.3303,0.7395543505,0.2765739314
0.3313,0.7386917556,0.2748991212
0.3323,0.7378286447,0.2732252084
0.3333,0.7369650171,0.2715521859
0.3343,0.7361008722,0.2698800469
0.3353,0.7352362094,0.2682087847
0.3363,0.7343710281,0.2665383924
0.3373,0.7335053276,0.2648688634
0.3383,0.7326391073,0.2632001908
0.3393,0.7317723666,0.2615323680
0.3403,0.7309051049,0.2598653883
0.3413,0.7300373215,0.2581992451
0.3423,0.7291690158,0.2565339319
0.3433,0.7283001872,0.2548694419
0.3443,0.7274308351,0.2532057688
0.3453,0.7265609588,0.2515429060
0.3463,0.7256905577,0.2498808470
0.3473,0.7248196311,0.2482195854
0.3483,0.7239481785,0.2465591147
0.3493,0.7230761991,0.2448994286
0.3503,0.7222036924,0.2432405206
0.3513,0.7213306577,0.2415823845
0.3523,0.7204570944,0.2399250139
0.3533,0.7195830018,0.2382684026
0.3543,0.7187083793,0.2366125442
0.3553,0.7178332262,0.2349574326
0.3563,0.7169575420,0.2333030615
0.3573,0.7160813259,0.2316494248
0.3583,0.7152045773,0.2299965162
0.3593,0.7143272955,0.2283443298
0.3603,0.7134494800,0.2266928592
0.3613,0.7125711301,0.2250420986
0.3623,0.7116922450,0.2233920417
0.3633,0.7108128242,0.2217426826
0.3643,0.7099328671,0.2200940152
0.3653,0.7090523728,0.2184460337
0.3663,0.7081713409,0.2167987319
0.3673,0.7072897706,0.2151521039
0.3683,0.7064076613,0.2135061439
0.3693,0.7055250123,0.2118608460
0.3703,0.7046418230,0.2102162041
0.3713,0.7037580926,0.2085722126
0.3723,0.7028738206,0.2069288655
0.3733,0.7019890063,0.2052861571
0.3743,0.7011036490,0.2036440815
0.3752,0.7002177480,0.2020026330
0.3762,0.6993313027,0.2003618058
0.3772,0.6984443123,0.1987215942
0.3782,0.6975567764,0.1970819925
0.3792,0.6966686940,0.1954429950
0.3802,0.6957800647,0.1938045960
0.3812,0.6948908876,0.1921667899
0.3822,0.6940011622,0.1905295710
0.3832,0.6931108878,0.1888929337
0.3842,0.6922200636,0.1872568725
0.3852,0.6913286891,0.1856213817
0.3862,0.6904367634,0.1839864557
0.3872,0.6895442860,0.1823520891
0.3882,0.6886512562,0.1807182764
0.3892,0.6877576732,0.1790850119
0.3902,0.6868635364,0.1774522902
0.3912,0.6859688451,0.1758201059
0.3922,0.6850735986,0.1741884535
0.3932,0.6841777963,0.1725573276
0.3942,0.6832814374,0.1709267226
0.3952,0.6823845212,0.1692966333
0.3962,0.6814870470,0.1676670543
0.3972,0.6805890142,0.1660379801
0.3982,0.6796904221,0.1644094054
0.3992,0.6787912699,0.1627813248
0.4002,0.6778915570,0.1611537331
0.4012,0.6769912826,0.1595266249
0.4022,0.6760904461,0.1578999950
0.4032,0.6751890467,0.1562738379
0.4042,0.6742870838,0.1546481486
0.4052,0.6733845567,0.1530229217
0.4062,0.6724814645,0.1513981519
0.4072,0.6715778068,0.1497738341
0.4082,0.6706735826,0.1481499630
0.4092,0.6697687913,0.1465265335
0.4102,0.6688634323,0.1449035403
0.4112,0.6679575047,0.1432809784
0.4122,0.6670510079,0.1416588424
0.4132,0.6661439412,0.1400371273
0.4142,0.6652363038,0.1384158280
0.4152,0.6643280951,0.1367949393
0.4162,0.6634193142,0.1351744561
0.4172,0.6625099605,0.1335543734
0.4182,0.6616000333,0.1319346859
0.4192,0.6606895318,0.1303153888
0.4202,0.6597784553,0.1286964768
0.4212,0.6588668031,0.1270779450
0.4222,0.6579545745,0.1254597884
0.4232,0.6570417686,0.1238420018
0.4242,0.6561283849,0.1222245803
0.4251,0.6552144225,0.1206075189
0.4261,0.6542998808,0.1189908125
0.4271,0.6533847590,0.1173744563
0.4281,0.6524690563,0.1157584451
0.4291,0.6515527720,0.1141427741
0.4301,0.6506359054,0.1125274384
0.4311,0.6497184558,0.1109124328
0.4321,0.6488004223,0.1092977527
0.4331,0.6478818043,0.1076833929
0.4341,0.6469626010,0.1060693486
0.4351,0.6460428117,0.1044556149
0.4361,0.6451224356,0.1028421869
0.4371,0.6442014719,0.1012290597
0.4381,0.6432799200,0.0996162284
0.4391,0.6423577790,0.0980036881
0.4401,0.6414350483,0.0963914341
0.4411,0.6405117270,0.0947794614
0.4421,0.6395878144,0.0931677652
0.4431,0.6386633097,0.0915563406
0.4441,0.6377382122,0.0899451829
0.4451,0.6368125211,0.0883342871
0.4461,0.6358862357,0.0867236486
0.4471,0.6349593552,0.0851132625
0.4481,0.6340318788,0.0835031239
0.4491,0.6331038058,0.0818932281
