noise_param,dephase_log_neg,dephase_K_D_PLOB,dephase_gap_bits,depol_log_neg,depol_E_R,depol_gap_bits
0.1490,0.7672310370,0.3926678636,0.3745631734,0.8290376887,0.3177084153,0.5113292734
0.1500,0.7655347464,0.3901596953,0.3753750511,0.8278190246,0.3142807550,0.5135382696
0.1510,0.7638364589,0.3876628423,0.3761736166,0.8265993303,0.3108612226,0.5157381077
0.1520,0.7621361699,0.3851772429,0.3769589271,0.8253786039,0.3074497711,0.5179288328
0.1530,0.7604338747,0.3827028362,0.3777310384,0.8241568437,0.3040463542,0.5201104895
0.1540,0.7587295685,0.3802395623,0.3784900061,0.8229340480,0.3006509261,0.5222831220
0.1550,0.7570232465,0.3777873620,0.3792358845,0.8217102150,0.2972634416,0.5244467735
0.1560,0.7553149040,0.3753461767,0.3799687273,0.8204853430,0.2938838562,0.5266014868
0.1570,0.7536045363,0.3729159490,0.3806885873,0.8192594301,0.2905121259,0.5287473042
0.1580,0.7518921384,0.3704966218,0.3813955166,0.8180324747,0.2871482073,0.5308842673
0.1590,0.7501777056,0.3680881390,0.3820895666,0.8168044748,0.2837920577,0.5330124172
0.1600,0.7484612330,0.3656904454,0.3827707876,0.8155754289,0.2804436346,0.5351317942
0.1610,0.7467427158,0.3633034861,0.3834392297,0.8143453350,0.2771028964,0.5372424385
0.1620,0.7450221490,0.3609272072,0.3840949418,0.8131141913,0.2737698019,0.5393443895
0.1630,0.7432995279,0.3585615556,0.3847379723,0.8118819962,0.2704443102,0.5414376860
0.1640,0.7415748474,0.3562064785,0.3853683689,0.8106487478,0.2671263814,0.5435223664
0.1650,0.7398481027,0.3538619241,0.3859861786,0.8094144442,0.2638159755,0.5455984687
0.1660,0.7381192888,0.3515278412,0.3865914476,0.8081790838,0.2605130536,0.5476660302
0.1670,0.7363884007,0.3492041791,0.3871842216,0.8069426646,0.2572175768,0.5497250878
0.1680,0.7346554335,0.3468908879,0.3877645456,0.8057051848,0.2539295070,0.5517756779
0.1690,0.7329203821,0.3445879182,0.3883324640,0.8044666427,0.2506488062,0.5538178365
0.1700,0.7311832416,0.3422952213,0.3888880203,0.8032270364,0.2473754374,0.5558515991
0.1710,0.7294440068,0.3400127490,0.3894312578,0.8019863641,0.2441093634,0.5578770007
0.1720,0.7277026728,0.3377404540,0.3899622189,0.8007446239,0.2408505481,0.5598940759
